Class_ID,Class_Name,Decile_Index,Mean_Correlation,Noise_Mean_Corr,Corr_Delta_vs_D1,Noise_Delta_vs_D1
1,Divergent,1,0.08260654723865016,-0.08962987002057789,0.0,0.0
1,Divergent,2,0.13238170139405564,0.020532003596614692,0.04977515415540548,0.11016187361719258
1,Divergent,3,0.15953211031562628,0.08432153341873168,0.07692556307697612,0.17395140343930957
1,Divergent,4,0.1817817842555745,0.14143606382685958,0.09917523701692435,0.23106593384743745
1,Divergent,5,0.2013889761766211,0.1914995886853537,0.11878242893797095,0.2811294587059316
1,Divergent,6,0.22103615491063824,0.23684552143560123,0.1384296076719881,0.3264753914561791
1,Divergent,7,0.24240407972928954,0.28342802015256524,0.15979753249063938,0.3730578901731431
1,Divergent,8,0.26894466355748986,0.33438197100057787,0.1863381163188397,0.42401184102115574
1,Divergent,9,0.30436489999644045,0.4055766538013457,0.2217583527577903,0.4952065238219236
1,Divergent,10,0.42253478502188785,0.5878582617429085,0.33992823778323766,0.6774881317634863
2,Convergent,1,0.07336023555367881,-0.1531697960220316,0.0,0.0
2,Convergent,2,0.11908502196421077,-0.02831074444466949,0.04572478641053196,0.1248590515773621
2,Convergent,3,0.14541284709221977,0.041946496597576224,0.07205261153854096,0.19511629261960783
2,Convergent,4,0.16661427013787805,0.09524707368854723,0.09325403458419924,0.24841686971057883
2,Convergent,5,0.186700254013941,0.14353219804897405,0.11334001846026219,0.2967019940710056
2,Convergent,6,0.20593975557844746,0.19164184021095745,0.13257952002476864,0.34481163623298905
2,Convergent,7,0.22665181079477037,0.2437559358305061,0.15329157524109155,0.39692573185253766
2,Convergent,8,0.25203694189758086,0.30520864544146614,0.17867670634390204,0.4583784414634977
2,Convergent,9,0.2855163436702512,0.38821138279974843,0.21215610811657237,0.54138117882178
2,Convergent,10,0.40299276679051843,0.5715510331945736,0.3296325312368396,0.7247208292166052
3,Random,1,0.06616639389239337,-0.1654862261439934,0.0,0.0
3,Random,2,0.13290071951322097,-0.030928675998721424,0.0667343256208276,0.13455755014527196
3,Random,3,0.17284935270783494,0.059956813342927635,0.10668295881544157,0.22544303948692102
3,Random,4,0.20437166801449985,0.12966371666847415,0.13820527412210648,0.29514994281246754
3,Random,5,0.23376047117074503,0.1909715493410899,0.16759407727835166,0.3564577754850833
3,Random,6,0.2595927631944562,0.24982834025544404,0.1934263693020628,0.4153145663994374
3,Random,7,0.28430444495549706,0.30662383229974677,0.2181380510631037,0.47211005844374015
3,Random,8,0.3103176027182189,0.3698756335510539,0.24415120882582553,0.5353618596950473
3,Random,9,0.34384899738105057,0.45044188772113875,0.2776826034886572,0.6159281138651321
3,Random,10,0.4500374118768423,0.6284617297127066,0.38387101798444895,0.7939479558567
