Class_ID,Class_Name,Decile_Index,Decile_Label,Lower_Quantile,Upper_Quantile,Pair_Count,Mean_Correlation,Min_Correlation,Max_Correlation
1,Divergent,1,0-10%,0.0,0.1,2543,0.04549640432727778,-0.04147643127874351,0.07216735962255845
1,Divergent,2,10-20%,0.1,0.2,2543,0.08785100077959926,0.0721874755121564,0.10194062090878266
1,Divergent,3,20-30%,0.2,0.3,2543,0.11379603735467712,0.10194319639137905,0.12526177189941934
1,Divergent,4,30-40%,0.3,0.4,2543,0.1363548480653104,0.1252706594466441,0.14727212752395752
1,Divergent,5,40-50%,0.4,0.5,2543,0.15781629538200417,0.14728787042743766,0.1682860504789504
1,Divergent,6,50-60%,0.5,0.6,2542,0.17857383131313403,0.16829142554719215,0.18867089999981135
1,Divergent,7,60-70%,0.6,0.7,2542,0.1994110575521852,0.1886805349649281,0.21038947650077586
1,Divergent,8,70-80%,0.7,0.8,2542,0.22378623600590156,0.21039330562043848,0.2384208856898734
1,Divergent,9,80-90%,0.8,0.9,2542,0.25755699434730345,0.23842187030918452,0.2811892935422155
1,Divergent,10,90-100%,0.9,1.0,2542,0.37783917296650604,0.28120433026568975,0.968605710841976
2,Convergent,1,0-10%,0.0,0.1,2543,0.044535613812218676,-0.038118250844662735,0.07216130661523099
2,Convergent,2,10-20%,0.1,0.2,2543,0.08850996304625602,0.07217157297831762,0.10243284687140547
2,Convergent,3,20-30%,0.2,0.3,2543,0.1144390188068679,0.10246039958688316,0.12571892033770218
2,Convergent,4,30-40%,0.3,0.4,2543,0.13667161586791038,0.12575032542794753,0.14726692380392167
2,Convergent,5,40-50%,0.4,0.5,2543,0.15721936128549274,0.14726779677169521,0.16718518425066606
2,Convergent,6,50-60%,0.5,0.6,2542,0.1775880254353875,0.16718557816148888,0.1882247755711707
2,Convergent,7,60-70%,0.6,0.7,2542,0.19919612559453803,0.18823239307819095,0.21070806830737424
2,Convergent,8,70-80%,0.7,0.8,2542,0.22360032365842636,0.21076238222419486,0.23706667907693627
2,Convergent,9,80-90%,0.8,0.9,2542,0.2555926249538055,0.2370727179981494,0.27819166844378224
2,Convergent,10,90-100%,0.9,1.0,2542,0.38064000564595263,0.27821859610579536,0.9659872407251021
3,Random,1,0-10%,0.0,0.1,2543,0.032600220454872667,-0.04119722015634427,0.05772297557673771
3,Random,2,10-20%,0.1,0.2,2543,0.0720061900769677,0.05773556636233198,0.08472141506345279
3,Random,3,20-30%,0.2,0.3,2543,0.09531787181080752,0.08472274671965466,0.10535212012913991
3,Random,4,30-40%,0.3,0.4,2543,0.11490622716535943,0.1053525896550335,0.12439107746629038
3,Random,5,40-50%,0.4,0.5,2543,0.13436493510768163,0.12440673548527802,0.1440292506328465
3,Random,6,50-60%,0.5,0.6,2542,0.1534957020070233,0.14405603171487746,0.1633157325246746
3,Random,7,60-70%,0.6,0.7,2542,0.17436993004954718,0.1633162472877617,0.18591485308052466
3,Random,8,70-80%,0.7,0.8,2542,0.1996903237583861,0.1859163048463218,0.21519678942506706
3,Random,9,80-90%,0.8,0.9,2542,0.23523297002935076,0.21520370490629517,0.25909347417615963
3,Random,10,90-100%,0.9,1.0,2542,0.3543040314803662,0.25909793745452164,0.9696421382923585
