strength_decile,n_edges,importance_sum,importance_mean,corr_mean
1,25241,0.0774505248428345,3.0684412203492136e-06,0.011403771408246322
2,25240,0.08350409929135465,3.3084032999744315e-06,0.045192753654403624
3,25241,0.08836437305438788,3.5008269503739106e-06,0.06479900452505022
4,25240,0.09294332318239204,3.682382059524249e-06,0.08141129474585246
5,25241,0.0973727278546775,3.857720686766669e-06,0.09757959417695185
6,25240,0.10058432594040478,3.9851159247387e-06,0.11423262892533644
7,25241,0.10461241003562691,4.144543006839147e-06,0.13240864658113255
8,25240,0.10866454781167152,4.305251498085242e-06,0.15435187015644947
9,25241,0.114355636808809,4.530550961087477e-06,0.18516333074014496
10,25240,0.13214803117783747,5.2356589214674115e-06,0.2782974785197586
