component_idx,base_accuracy_mean,base_accuracy_std,ablation_accuracy_mean,ablation_accuracy_std,delta_vs_base,selection_frequency,mean_abs_coef
5,0.8181818181818182,0.06298366572977732,0.7090909090909091,0.04810456929208348,0.10909090909090913,1.0,0.38260976995792473
3,0.8181818181818182,0.06298366572977732,0.7272727272727272,0.04810456929208348,0.09090909090909105,0.92,0.2593856977788454
8,0.8181818181818182,0.06298366572977732,0.7272727272727272,0.04810456929208348,0.09090909090909105,0.92,0.27444050323479025
4,0.8181818181818182,0.06298366572977732,0.7333333333333334,0.03784847271756606,0.08484848484848484,0.96,0.2554744388437368
12,0.8181818181818182,0.06298366572977732,0.7393939393939394,0.05248638810814781,0.07878787878787885,0.92,0.2861038039256881
21,0.8181818181818182,0.06298366572977732,0.7515151515151516,0.06385244698698632,0.06666666666666665,0.84,0.25170457050343603
18,0.8181818181818182,0.06298366572977732,0.7575757575757577,0.10653573231058755,0.06060606060606055,0.64,0.25056773886938283
20,0.8181818181818182,0.06298366572977732,0.7636363636363637,0.018181818181818188,0.054545454545454564,0.96,0.35440229996268535
10,0.8181818181818182,0.06298366572977732,0.7636363636363637,0.031491832864888686,0.054545454545454564,0.48,0.21719611084388418
15,0.8181818181818182,0.06298366572977732,0.7757575757575759,0.027773186030035403,0.042424242424242364,0.48,0.19978484047474235
