rank,edge_idx,neuron_i_local,neuron_j_local,neuron_i_global,neuron_j_global,layer_i,layer_j,layer_pair,strength_decile,corr_mean,edge_importance,edge_importance_raw
1,13225,115,116,115,116,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8050915658238332,0.0005537848467076765,0.03804821166291839
2,13282,116,117,116,117,DepthMid,DepthMid,DepthMid--DepthMid,10,0.9000510800552463,0.0003950932964511045,0.027145187267839717
3,2317,14,15,14,15,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8376173967684658,0.0003916202092133223,0.0269065661514756
4,1235,7,60,7,60,DepthMid,DepthMid,DepthMid--DepthMid,10,0.23282073053835498,0.00036556406004398945,0.02511635848398651
5,13226,115,117,115,117,DepthMid,DepthMid,DepthMid--DepthMid,10,0.6043280407241978,0.0003624257625368799,0.024900739352257645
6,513,3,4,3,4,DepthLow,DepthLow,DepthLow--DepthLow,10,0.9400735388342801,0.0003392534719174065,0.02330866939323657
7,1183,7,8,7,8,DepthMid,DepthMid,DepthMid--DepthMid,10,0.5345301176566212,0.00033699066357527325,0.02315320141453337
8,8562,60,73,60,73,DepthMid,DepthMid,DepthMid--DepthMid,10,0.5087149142505454,0.00033458835258669213,0.022988148799755092
9,6166,40,107,40,107,DepthMid,DepthLow,DepthLow--DepthMid,9,0.20245463889829987,0.00031704570207384373,0.021782867572199598
10,1248,7,73,7,73,DepthMid,DepthMid,DepthMid--DepthMid,8,0.16361897265628952,0.000314151062645464,0.021583989155223055
11,14863,167,168,167,168,DepthLow,DepthLow,DepthLow--DepthLow,10,0.949303739406235,0.0003138483380626021,0.021563190231105183
12,2788,17,18,17,18,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8390793019009841,0.00030691684244840646,0.02108695652077992
13,1412,8,73,8,73,DepthMid,DepthMid,DepthMid--DepthMid,5,0.11809143291453429,0.00030675602214349715,0.02107590723866745
14,1190,7,15,7,15,DepthMid,DepthMid,DepthMid--DepthMid,7,0.13794651656543158,0.00030489672540057097,0.02094816283316483
15,1353,8,14,8,14,DepthMid,DepthMid,DepthMid--DepthMid,4,0.09175673729321174,0.00030357971112492474,0.020857676359544643
16,1354,8,15,8,15,DepthMid,DepthMid,DepthMid--DepthMid,3,0.08428429930888823,0.00030352804368594187,0.020854126508612122
17,1189,7,14,7,14,DepthMid,DepthMid,DepthMid--DepthMid,8,0.15906274236383483,0.000303069210580007,0.02082260202895842
18,2375,14,73,14,73,DepthMid,DepthMid,DepthMid--DepthMid,8,0.16579760409466177,0.00029421121153768684,0.02021400642639577
19,2943,18,19,18,19,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7121116476915355,0.00029114701265441886,0.020003478297320035
20,2519,15,60,15,60,DepthMid,DepthMid,DepthMid--DepthMid,7,0.14842293789053976,0.0002908230140704774,0.019981217726678605
21,6297,41,107,41,107,DepthMid,DepthLow,DepthLow--DepthMid,9,0.19402622949621437,0.0002907682083068193,0.019977452254747747
22,2789,17,19,17,19,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6340548297403048,0.00028953605299717144,0.01989279608132266
23,2362,14,60,14,60,DepthMid,DepthMid,DepthMid--DepthMid,8,0.16731615756662765,0.0002886244402461899,0.019830163029677838
24,7552,51,107,51,107,DepthHigh,DepthLow,DepthHigh--DepthLow,7,0.14669812517080538,0.0002875230950057465,0.019754494262156547
25,2532,15,73,15,73,DepthMid,DepthMid,DepthMid--DepthMid,8,0.15682958936392122,0.0002874131637957153,0.019746941354249273
26,8437,59,60,59,60,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8887687194397286,0.0002797496322115091,0.01922041255243239
27,2475,15,16,15,16,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8249275336082205,0.0002792701349659348,0.019187468327252048
28,1399,8,60,8,60,DepthMid,DepthMid,DepthMid--DepthMid,6,0.127955534901148,0.00027769285002813925,0.019079099758623343
29,6280,41,90,41,90,DepthMid,DepthLow,DepthLow--DepthMid,7,0.15273463834596476,0.00027375700482497225,0.01880868450213362
30,1191,7,16,7,16,DepthMid,DepthMid,DepthMid--DepthMid,6,0.1302558995311447,0.0002726692663861344,0.018733950600328897
31,6149,40,90,40,90,DepthMid,DepthLow,DepthLow--DepthMid,8,0.15904136643896016,0.00027230694114530263,0.01870905676739731
32,8992,64,65,64,65,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.9132621627049118,0.0002705700200070047,0.01858972027145552
33,8371,58,107,58,107,DepthMid,DepthLow,DepthLow--DepthMid,8,0.17272143080654334,0.00025376132203634835,0.017434865814949973
34,9315,67,70,67,70,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7695512548292314,0.0002522271250171462,0.01732945763474017
35,9862,72,107,72,107,DepthMid,DepthLow,DepthLow--DepthMid,10,0.26519297018947685,0.0002513831700042948,0.017271473059766954
36,7739,53,55,53,55,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8390269733958431,0.000249951616200108,0.017173117060189907
37,14287,138,143,138,143,DepthLow,DepthLow,DepthLow--DepthLow,10,0.31402354961563916,0.00024672336361499436,0.016951317495990915
38,6262,41,72,41,72,DepthMid,DepthMid,DepthMid--DepthMid,10,0.2991431918808227,0.0002448413699586492,0.01682201368168361
39,12480,103,121,103,121,DepthHigh,DepthMid,DepthHigh--DepthMid,7,0.14161526858092904,0.00024291905831081432,0.016689939788918674
40,682,4,5,4,5,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8336096341414334,0.00024217541022757467,0.01663884687830178
41,6104,40,45,40,45,DepthMid,DepthHigh,DepthHigh--DepthMid,10,0.2330003935956975,0.00024133444632739353,0.01658106781001345
42,6131,40,72,40,72,DepthMid,DepthMid,DepthMid--DepthMid,10,0.29271171448090333,0.00024129926347814752,0.016578650545433216
43,6100,40,41,40,41,DepthMid,DepthMid,DepthMid--DepthMid,10,0.9038485324827682,0.00023931202092089678,0.01644211552485013
44,6235,41,45,41,45,DepthMid,DepthHigh,DepthHigh--DepthMid,10,0.22613391424910317,0.00023865121824232023,0.016396714571155966
45,9845,72,90,72,90,DepthMid,DepthLow,DepthLow--DepthMid,5,0.11718924119473033,0.00023809640305694161,0.01635859556928622
46,8780,62,70,62,70,DepthLow,DepthLow,DepthLow--DepthLow,10,0.24210767570319258,0.00023804753615904557,0.016355238131672112
47,13604,122,124,122,124,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8581210439292639,0.00023517985645420266,0.016158212003131413
48,11491,90,107,90,107,DepthLow,DepthLow,DepthLow--DepthLow,5,0.11206022696940714,0.00023408640417756042,0.01608308552772797
49,2945,18,21,18,21,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.46549544069772225,0.00023336265662963915,0.016033359898618506
