Neuron_ID,Class_1,Class_2,Class_3,Membership_Pattern,Membership_Count
0,1,0,0,1,1
1,0,0,1,3,1
2,1,1,0,"1,2",2
3,1,0,1,"1,3",2
4,1,0,1,"1,3",2
5,1,0,1,"1,3",2
6,1,0,1,"1,3",2
7,0,1,0,2,1
8,0,1,0,2,1
9,0,0,1,3,1
10,1,1,0,"1,2",2
11,1,1,0,"1,2",2
12,1,1,0,"1,2",2
13,1,1,0,"1,2",2
14,0,0,1,3,1
15,0,0,1,3,1
16,0,0,1,3,1
17,0,1,1,"2,3",2
18,0,1,1,"2,3",2
19,0,1,1,"2,3",2
20,0,1,1,"2,3",2
21,0,1,0,2,1
22,0,0,1,3,1
23,1,1,1,"1,2,3",3
24,0,1,0,2,1
25,0,1,0,2,1
26,0,1,0,2,1
27,0,1,0,2,1
28,1,0,0,1,1
29,1,0,0,1,1
30,1,1,1,"1,2,3",3
31,1,1,1,"1,2,3",3
32,1,1,1,"1,2,3",3
33,1,0,0,1,1
34,1,1,1,"1,2,3",3
35,1,1,1,"1,2,3",3
36,1,0,0,1,1
37,1,1,1,"1,2,3",3
38,1,1,1,"1,2,3",3
39,0,0,1,3,1
40,1,1,1,"1,2,3",3
41,1,1,1,"1,2,3",3
42,1,1,1,"1,2,3",3
43,0,1,0,2,1
44,0,1,0,2,1
45,0,1,0,2,1
46,0,1,0,2,1
47,1,1,0,"1,2",2
48,1,1,0,"1,2",2
49,1,1,0,"1,2",2
50,1,1,0,"1,2",2
51,1,1,0,"1,2",2
52,0,1,0,2,1
53,0,1,0,2,1
54,0,1,0,2,1
55,0,1,0,2,1
56,1,0,0,1,1
57,0,0,1,3,1
58,0,1,0,2,1
59,0,1,0,2,1
60,0,1,0,2,1
61,0,0,1,3,1
62,0,0,1,3,1
63,1,0,1,"1,3",2
64,1,0,0,1,1
65,1,0,1,"1,3",2
66,0,0,1,3,1
67,1,0,0,1,1
68,1,0,0,1,1
69,1,1,0,"1,2",2
70,1,0,0,1,1
71,1,0,0,1,1
72,0,1,0,2,1
73,0,1,0,2,1
74,0,0,1,3,1
75,1,1,1,"1,2,3",3
76,1,1,0,"1,2",2
77,1,0,1,"1,3",2
78,1,0,1,"1,3",2
79,0,1,1,"2,3",2
80,1,0,1,"1,3",2
81,1,1,1,"1,2,3",3
82,1,0,1,"1,3",2
83,0,0,1,3,1
84,1,0,1,"1,3",2
85,1,0,1,"1,3",2
86,0,0,1,3,1
87,1,1,0,"1,2",2
88,0,0,1,3,1
89,0,0,1,3,1
90,0,0,1,3,1
91,1,0,0,1,1
92,1,1,1,"1,2,3",3
93,1,1,1,"1,2,3",3
94,0,0,1,3,1
95,1,1,1,"1,2,3",3
96,1,1,1,"1,2,3",3
97,1,1,1,"1,2,3",3
98,0,0,1,3,1
99,1,1,1,"1,2,3",3
100,0,0,1,3,1
101,1,1,1,"1,2,3",3
102,0,0,1,3,1
103,0,1,0,2,1
104,0,0,1,3,1
105,0,1,0,2,1
106,0,1,0,2,1
107,0,1,0,2,1
108,0,1,0,2,1
109,0,0,1,3,1
110,0,0,1,3,1
111,0,1,1,"2,3",2
112,1,1,1,"1,2,3",3
113,1,1,1,"1,2,3",3
114,0,1,1,"2,3",2
115,0,1,0,2,1
116,0,1,0,2,1
117,0,1,0,2,1
118,1,1,1,"1,2,3",3
119,1,1,0,"1,2",2
120,1,1,0,"1,2",2
121,0,1,0,2,1
122,0,1,0,2,1
123,0,1,0,2,1
124,0,1,0,2,1
125,0,1,0,2,1
126,0,1,0,2,1
127,1,1,0,"1,2",2
128,0,1,0,2,1
129,0,1,0,2,1
130,0,1,0,2,1
131,0,0,1,3,1
132,1,0,1,"1,3",2
133,1,0,0,1,1
134,1,0,0,1,1
135,1,0,1,"1,3",2
136,0,0,1,3,1
137,1,1,0,"1,2",2
138,1,1,1,"1,2,3",3
139,1,1,0,"1,2",2
140,1,1,1,"1,2,3",3
141,1,1,1,"1,2,3",3
142,1,1,0,"1,2",2
143,0,1,0,2,1
144,1,0,0,1,1
145,1,0,1,"1,3",2
146,0,0,1,3,1
147,1,0,1,"1,3",2
148,0,1,0,2,1
149,0,0,1,3,1
150,0,0,1,3,1
151,1,1,0,"1,2",2
152,1,0,0,1,1
153,1,0,0,1,1
154,0,1,0,2,1
155,0,1,0,2,1
156,1,1,1,"1,2,3",3
157,1,1,1,"1,2,3",3
158,0,0,1,3,1
159,0,0,1,3,1
160,1,1,1,"1,2,3",3
161,0,1,1,"2,3",2
162,0,1,0,2,1
163,0,0,1,3,1
164,0,1,1,"2,3",2
165,0,0,1,3,1
166,0,0,1,3,1
167,0,1,1,"2,3",2
168,0,1,1,"2,3",2
169,0,1,1,"2,3",2
170,1,0,1,"1,3",2
171,0,1,1,"2,3",2
172,0,1,0,2,1
