Mouse_ID,Domain,Class_ID,Class_Name,Trial_Count,Total_Neurons,Metric,Value,Current_RR_Count,Other_RR_Count,Pair_Count
M78_1017,rr_ratio,1.0,Convergent,81.0,35499.0,RR_Count,404.0,,,
M78_1017,rr_ratio,2.0,Divergent,57.0,35499.0,RR_Count,361.0,,,
M78_1017,rr_ratio,3.0,Random,42.0,35499.0,RR_Count,412.0,,,
M78_1017,rr_ratio,1.0,Convergent,81.0,35499.0,RR_Ratio,0.011380602270486493,,,
M78_1017,rr_ratio,2.0,Divergent,57.0,35499.0,RR_Ratio,0.010169300543677286,,,
M78_1017,rr_ratio,3.0,Random,42.0,35499.0,RR_Ratio,0.011605960731288206,,,
M78_1017,accuracy,,,,,mean_accuracy,0.7886666666666667,,,
M78_1017,accuracy,,,,,peak_accuracy,0.9888888888888889,,,
M78_1017,accuracy,,,,,peak_time,2.25,,,
M78_1017,participation,1.0,Convergent,,,Current_RR_Response_10_18,0.013596125457586348,404.0,322.0,
M78_1017,participation,2.0,Divergent,,,Current_RR_Response_10_18,0.01591721852528991,361.0,365.0,
M78_1017,participation,3.0,Random,,,Current_RR_Response_10_18,0.014975394552645134,412.0,314.0,
M78_1017,participation,1.0,Convergent,,,Other_RR_Response_10_18,0.012302081555880348,404.0,322.0,
M78_1017,participation,2.0,Divergent,,,Other_RR_Response_10_18,0.014923348687176288,361.0,365.0,
M78_1017,participation,3.0,Random,,,Other_RR_Response_10_18,0.014357388150338664,412.0,314.0,
M78_1017,participation,1.0,Convergent,,,Response_Ratio_Current_vs_Other,1.1051890198193541,404.0,322.0,
M78_1017,participation,2.0,Divergent,,,Response_Ratio_Current_vs_Other,1.0665983123413219,361.0,365.0,
M78_1017,participation,3.0,Random,,,Response_Ratio_Current_vs_Other,1.0430444865592665,412.0,314.0,
M78_1017,correlation,1.0,Convergent,,,Mean_Correlation,0.18678354701772454,,,263175.0
M78_1017,correlation,2.0,Divergent,,,Mean_Correlation,0.18794049076785782,,,263175.0
M78_1017,correlation,3.0,Random,,,Mean_Correlation,0.19547069849930201,,,263175.0
M78_1017,correlation,1.0,Convergent,,,Mean_Abs_Correlation,0.18679782756625465,,,263175.0
M78_1017,correlation,2.0,Divergent,,,Mean_Abs_Correlation,0.18798647344806646,,,263175.0
M78_1017,correlation,3.0,Random,,,Mean_Abs_Correlation,0.1954928970894388,,,263175.0
M78_1017,correlation,1.0,Convergent,,,Weak_Abs_Correlation_Mean,0.06336629361446439,,,263175.0
M78_1017,correlation,2.0,Divergent,,,Weak_Abs_Correlation_Mean,0.05460035352673947,,,263175.0
M78_1017,correlation,3.0,Random,,,Weak_Abs_Correlation_Mean,0.0635561887551109,,,263175.0
M78_1017,correlation,1.0,Convergent,,,Strong_Abs_Correlation_Mean,0.3565265633724112,,,263175.0
M78_1017,correlation,2.0,Divergent,,,Strong_Abs_Correlation_Mean,0.356956425139626,,,263175.0
M78_1017,correlation,3.0,Random,,,Strong_Abs_Correlation_Mean,0.36438828295997927,,,263175.0
M78_1017,correlation,1.0,Convergent,,,Strong_Weak_Gap,0.2931602697579468,,,263175.0
M78_1017,correlation,2.0,Divergent,,,Strong_Weak_Gap,0.3023560716128865,,,263175.0
M78_1017,correlation,3.0,Random,,,Strong_Weak_Gap,0.30083209420486834,,,263175.0
M78_1017,graph,1.0,Convergent,,,n_nodes,726.0,,,
M78_1017,graph,2.0,Divergent,,,n_nodes,726.0,,,
M78_1017,graph,3.0,Random,,,n_nodes,726.0,,,
M78_1017,graph,1.0,Convergent,,,n_edges,13158.0,,,
M78_1017,graph,2.0,Divergent,,,n_edges,13158.0,,,
M78_1017,graph,3.0,Random,,,n_edges,13158.0,,,
M78_1017,graph,1.0,Convergent,,,density,0.04999715018523796,,,
M78_1017,graph,2.0,Divergent,,,density,0.04999715018523796,,,
M78_1017,graph,3.0,Random,,,density,0.04999715018523796,,,
M78_1017,graph,1.0,Convergent,,,mean_degree,36.247933884297524,,,
