repeat_idx,accuracy_mean
0,0.31746031746031744
1,0.3650793650793651
2,0.30952380952380953
3,0.3412698412698412
4,0.38888888888888884
5,0.3095238095238095
6,0.30952380952380953
7,0.3412698412698412
8,0.30158730158730157
9,0.35714285714285715
10,0.35714285714285715
11,0.373015873015873
12,0.30952380952380953
13,0.41269841269841273
14,0.34126984126984133
15,0.35714285714285715
16,0.3412698412698412
17,0.373015873015873
18,0.3333333333333333
19,0.3253968253968254
20,0.30952380952380953
21,0.30158730158730157
22,0.3333333333333333
23,0.3412698412698412
24,0.3333333333333333
25,0.3412698412698412
26,0.3650793650793651
27,0.3412698412698412
28,0.373015873015873
29,0.32539682539682535
