ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base
top,0.01,665,-1,0.47272727272727266,0.03149183286488866,0.4484848484848485,0.03784847271756606,0.024242424242424176
random,0.01,665,0,0.47272727272727266,0.03149183286488866,0.4666666666666666,0.08397822097303648,0.006060606060606044
random,0.01,665,1,0.47272727272727266,0.03149183286488866,0.509090909090909,0.03636363636363635,-0.036363636363636376
random,0.01,665,2,0.47272727272727266,0.03149183286488866,0.4424242424242424,0.03784847271756603,0.030303030303030276
random,0.01,665,3,0.47272727272727266,0.03149183286488866,0.5333333333333333,0.010497277621629563,-0.06060606060606066
random,0.01,665,4,0.47272727272727266,0.03149183286488866,0.5272727272727272,0.018181818181818188,-0.054545454545454564
random,0.01,665,5,0.47272727272727266,0.03149183286488866,0.5393939393939394,0.0756969454351321,-0.06666666666666676
random,0.01,665,6,0.47272727272727266,0.03149183286488866,0.5272727272727272,0.03636363636363635,-0.054545454545454564
random,0.01,665,7,0.47272727272727266,0.03149183286488866,0.5090909090909091,0.03149183286488865,-0.03636363636363649
top,0.03,1993,-1,0.47272727272727266,0.03149183286488866,0.45454545454545453,0.048104569292083454,0.018181818181818132
random,0.03,1993,0,0.47272727272727266,0.03149183286488866,0.47272727272727266,0.0655554777357089,0.0
random,0.03,1993,1,0.47272727272727266,0.03149183286488866,0.5151515151515151,0.03784847271756603,-0.042424242424242475
random,0.03,1993,2,0.47272727272727266,0.03149183286488866,0.43636363636363634,0.08331955809010615,0.03636363636363632
random,0.03,1993,3,0.47272727272727266,0.03149183286488866,0.5272727272727272,0.018181818181818188,-0.054545454545454564
random,0.03,1993,4,0.47272727272727266,0.03149183286488866,0.5454545454545454,0.031491832864888686,-0.07272727272727275
random,0.03,1993,5,0.47272727272727266,0.03149183286488866,0.5393939393939394,0.0756969454351321,-0.06666666666666676
random,0.03,1993,6,0.47272727272727266,0.03149183286488866,0.5333333333333333,0.027773186030035403,-0.06060606060606066
random,0.03,1993,7,0.47272727272727266,0.03149183286488866,0.503030303030303,0.05844636824844214,-0.030303030303030387
top,0.05,3322,-1,0.47272727272727266,0.03149183286488866,0.48484848484848486,0.010497277621629563,-0.0121212121212122
random,0.05,3322,0,0.47272727272727266,0.03149183286488866,0.4666666666666666,0.09151314466994845,0.006060606060606044
random,0.05,3322,1,0.47272727272727266,0.03149183286488866,0.5212121212121211,0.04198911048651822,-0.048484848484848464
random,0.05,3322,2,0.47272727272727266,0.03149183286488866,0.4545454545454546,0.08331955809010616,0.018181818181818077
random,0.05,3322,3,0.47272727272727266,0.03149183286488866,0.5696969696969697,0.010497277621629563,-0.09696969696969704
random,0.05,3322,4,0.47272727272727266,0.03149183286488866,0.5393939393939394,0.03784847271756606,-0.06666666666666676
random,0.05,3322,5,0.47272727272727266,0.03149183286488866,0.5272727272727272,0.06555547773570888,-0.054545454545454564
random,0.05,3322,6,0.47272727272727266,0.03149183286488866,0.5212121212121211,0.020994555243259126,-0.048484848484848464
random,0.05,3322,7,0.47272727272727266,0.03149183286488866,0.4909090909090909,0.048104569292083454,-0.018181818181818243
