Class_ID,Class_Name,Decile_Index,Decile_Label,Lower_Quantile,Upper_Quantile,Pair_Count,Mean_Correlation,Min_Correlation,Max_Correlation
1,Divergent,1,0-10%,0.0,0.1,2750,0.1174854157643702,0.02485205307333827,0.14858055418514807
1,Divergent,2,10-20%,0.1,0.2,2750,0.16665164238418304,0.1485944345675402,0.18262449661062374
1,Divergent,3,20-30%,0.2,0.3,2750,0.19513253395843483,0.18262993768446661,0.2067838947022526
1,Divergent,4,30-40%,0.3,0.4,2750,0.21868610578137243,0.2067900219149818,0.23041048787860566
1,Divergent,5,40-50%,0.4,0.5,2750,0.24204022532778907,0.23042757646611547,0.253058253142522
1,Divergent,6,50-60%,0.5,0.6,2749,0.2641884540810629,0.25307193965349145,0.27587471388690116
1,Divergent,7,60-70%,0.6,0.7,2749,0.2885597957185614,0.2758793335598734,0.3018506333154988
1,Divergent,8,70-80%,0.7,0.8,2749,0.31699609893596076,0.30185268236667956,0.3328695544235505
1,Divergent,9,80-90%,0.8,0.9,2749,0.35335836118069014,0.3328767462059035,0.3776573823587248
1,Divergent,10,90-100%,0.9,1.0,2749,0.45223244698672593,0.37766485934646005,0.9771952919626767
2,Convergent,1,0-10%,0.0,0.1,2750,0.11056543477781276,0.004640897974795987,0.14403814345807744
2,Convergent,2,10-20%,0.1,0.2,2750,0.1632804170975285,0.1440505122351224,0.18075813511572966
2,Convergent,3,20-30%,0.2,0.3,2750,0.1948107735618288,0.18076031563422135,0.20755351470577107
2,Convergent,4,30-40%,0.3,0.4,2750,0.21968788345264198,0.2075805885131274,0.231528541226218
2,Convergent,5,40-50%,0.4,0.5,2750,0.24329130974735994,0.23153133803480463,0.25514932574024834
2,Convergent,6,50-60%,0.5,0.6,2749,0.2669847504392124,0.2551569479716083,0.2790926881043857
2,Convergent,7,60-70%,0.6,0.7,2749,0.2910525453847491,0.2791017772047333,0.30367273996183214
2,Convergent,8,70-80%,0.7,0.8,2749,0.3177396500151299,0.30368106541550527,0.33314689578042556
2,Convergent,9,80-90%,0.8,0.9,2749,0.3529203568394709,0.33315845408118133,0.3764250251935797
2,Convergent,10,90-100%,0.9,1.0,2749,0.4497951738195595,0.3764344728588842,0.9839866760418676
3,Random,1,0-10%,0.0,0.1,2750,0.09461611921516437,-0.03458549970053668,0.12792783507081296
3,Random,2,10-20%,0.1,0.2,2750,0.14774303593987972,0.12793536317156762,0.16572014502452426
3,Random,3,20-30%,0.2,0.3,2750,0.18098315138218524,0.16576430313172458,0.1953407877000148
3,Random,4,30-40%,0.3,0.4,2750,0.20909069065981722,0.19534270687464594,0.2222032594377293
3,Random,5,40-50%,0.4,0.5,2750,0.2349593870628306,0.22221021288658047,0.24780033650178707
3,Random,6,50-60%,0.5,0.6,2749,0.26017309865815946,0.24780237438662206,0.27329666784734713
3,Random,7,60-70%,0.6,0.7,2749,0.2865682452222242,0.27329849844312437,0.30043416701486036
3,Random,8,70-80%,0.7,0.8,2749,0.3158149356183487,0.3004558741846319,0.3329401649467639
3,Random,9,80-90%,0.8,0.9,2749,0.35457321074654025,0.33295490439032316,0.38153837014020936
3,Random,10,90-100%,0.9,1.0,2749,0.4562937069068519,0.381542923933788,0.9761671523680391
