neuron_local_idx,neuron_global_idx,membership_count,coarse_overlap,detail_overlap,rr_label_single,preferred_class,selectivity_index,decoder_importance,ablation_effect_proxy,ablation_drop_actual,is_important_neuron,resp_Divergent,resp_Convergent,resp_Random
0,0,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.27121839926564556,0.003526265902314792,0.003526265902314792,,0,0.07145044431780223,0.032512841111778344,0.049411349433163804
1,1,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.31335754127210663,0.003690263336798538,0.003690263336798538,,0,0.034489877222330066,0.04560239927685529,0.013193320351894255
2,2,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.15952313222623737,0.003809295728179884,0.003809295728179884,,0,0.03383992880979484,0.034389917093215795,0.01601492789470487
3,3,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.16814263148241596,0.0040150457459172334,0.0040150457459172334,,0,0.03695223544275871,0.03625257198930418,0.016376256901356908
4,4,1,Condition_Biased,Biased_Random,Random,Random,0.10681832118638492,0.0043240647162617555,0.0043240647162617555,,0,0.025010644958389026,0.0306747444565334,0.03450228026895611
5,5,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.14253503966661646,0.004035606921297808,0.004035606921297808,,0,0.03579866993930881,0.03617372323399183,0.018497608215720565
6,6,1,Condition_Biased,Biased_Random,Random,Random,0.17837210707837348,0.004241297504923011,0.004241297504923011,,0,0.018868702711727196,0.01826901544038226,0.02663130814347554
7,7,1,Condition_Biased,Biased_Random,Random,Random,0.11878397796177932,0.004223492184570375,0.004223492184570375,,0,0.022904076281486562,0.02886097863434799,0.03286022530799663
8,8,2,Shared_Core,Shared_Core,Shared_Core,Divergent,0.41291748042025495,0.004455836946259317,0.004455836946259317,,0,0.05341087635692761,0.01634505192660505,0.028040543550418483
9,9,2,Shared_Core,Shared_Core,Shared_Core,Divergent,0.432439720446219,0.004353001512707383,0.004353001512707383,,0,0.054708981053274194,0.016198914367508477,0.027154595224635193
10,10,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.2027721968656817,0.0043425250043287586,0.0043425250043287586,,0,0.019381393046825433,0.03275772169597013,0.02404389824476783
11,11,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.21566842106764328,0.004352301819643541,0.004352301819643541,,0,0.03465945061503185,0.06360813699140357,0.047418638532636344
12,12,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.250621305778251,0.004600786371804521,0.004600786371804521,,0,0.0672466050816217,0.13657232058584376,0.096423063417293
13,13,1,Condition_Biased,Biased_Convergent,Convergent,Divergent,0.22943299620656543,0.004482607599902523,0.004482607599902523,,0,0.05565853629485463,0.05001262164177008,0.01975715301103062
14,14,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.18009148770480296,0.004793010012726701,0.004793010012726701,-0.007407407407407307,1,0.044713803793355406,0.07370541133380756,0.057704855750004454
15,15,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.1882772933636992,0.004679655709544936,0.004679655709544936,0.0,1,0.029840496523926657,0.04292840753046293,0.028809051601975052
16,16,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.08580511763213565,0.004607033512870089,0.004607033512870089,0.0,0,0.03228803868060587,0.04238372504040993,0.039082014560699464
17,17,1,Condition_Biased,Biased_Convergent,Convergent,Divergent,0.1977895181470893,0.004202102769662811,0.004202102769662811,,0,0.06539298978168517,0.060826378583750396,0.026766543290405363
18,18,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.15306299833655934,0.003911905574653517,0.003911905574653517,,0,0.042813421235661266,0.04851550287098954,0.028456881592326143
19,19,1,Condition_Biased,Biased_Random,Random,Convergent,0.18498230134291582,0.005165083150186145,0.005165083150186145,0.0,1,0.030740818543428625,0.041426703846328475,0.02624483734921173
20,20,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.155560319656421,0.004123461297451551,0.004123461297451551,,0,0.04374992589604248,0.05302338038999883,0.03374502720242297
21,21,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.21111957958304473,0.004412343804668103,0.004412343804668103,,0,0.03532416566977864,0.044355696333306174,0.022459295122987694
22,22,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.1955471554040758,0.004732511054757868,0.004732511054757868,-0.007407407407407307,1,0.036629961014518306,0.04304128335345359,0.021292777828596256
23,23,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.3723742684325253,0.0039036434062169195,0.0039036434062169195,,0,0.028632615072031815,0.047044826287125786,0.014397255414062076
24,24,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.1902364478419596,0.004018741720744062,0.004018741720744062,,0,0.0386039133494099,0.05227862587247891,0.032530399273943016
25,25,1,Condition_Biased,Biased_Random,Random,Random,0.5958371255207258,0.004347335840094342,0.004347335840094342,,0,0.038881904329644855,0.03967904497095674,0.15509895567816717
26,26,1,Condition_Biased,Biased_Random,Random,Convergent,0.0746992660398778,0.004714506570423798,0.004714506570423798,0.0,1,0.036573176099746314,0.04771007701912254,0.04558221504644111
27,27,1,Condition_Biased,Biased_Random,Random,Divergent,0.04388068316907849,0.004651051655705262,0.004651051655705262,2.220446049250313e-16,0,0.042564772918854875,0.04254655431581553,0.03542596162469299
28,28,1,Condition_Biased,Biased_Random,Random,Convergent,0.13231234844250722,0.004108271417555365,0.004108271417555365,,0,0.04107954754726961,0.05852240132951429,0.04861154350693579
29,29,1,Condition_Biased,Biased_Random,Random,Random,0.15034701085930222,0.003763713170248093,0.003763713170248093,,0,0.0388965488937511,0.03357032656906143,0.049056529336505464
30,30,1,Condition_Biased,Biased_Random,Random,Random,0.392751124939156,0.0042325713355505145,0.0042325713355505145,,0,0.07372216246935918,0.03324210503823543,0.12266354868533434
31,31,1,Condition_Biased,Biased_Random,Random,Random,0.4668568625223384,0.005014501019495029,0.005014501019495029,-0.007407407407407307,1,0.03367809135535801,0.0400694869852886,0.10145224966798667
32,32,1,Condition_Biased,Biased_Random,Random,Random,0.5660051011533432,0.00466611515668124,0.00466611515668124,-0.007407407407407307,0,0.04039932842607851,0.04750485620683148,0.15859449260212757
33,33,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.16909557864829539,0.0042549982777856845,0.0042549982777856845,,0,0.06685189988153677,0.0818774223564163,0.0495326173250322
34,34,1,Condition_Biased,Biased_Random,Random,Random,0.5421105178138298,0.00478107270967052,0.00478107270967052,-0.007407407407407307,1,0.048412817538957355,0.05597924543593926,0.17578925106812407
35,35,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.28933630289852,0.004210386165726804,0.004210386165726804,,0,0.06317029741196031,0.03156639457182594,0.03807073114094911
36,36,1,Condition_Biased,Biased_Random,Random,Random,0.5477922565076231,0.004815099630044779,0.004815099630044779,0.0,1,0.05330601762290354,0.061097717198429914,0.195787464302999
37,37,2,Shared_Core,Shared_Core,Shared_Core,Random,0.3017083876523824,0.0038479824429231316,0.0038479824429231316,,0,0.02989489113463572,0.07040179452844082,0.09348317713787159
38,38,1,Condition_Biased,Biased_Random,Random,Random,0.5356094026783076,0.005047011969654362,0.005047011969654362,-0.007407407407407307,1,0.05497412606038981,0.0545871157258276,0.18114414248201582
39,39,1,Condition_Biased,Biased_Random,Random,Random,0.5342880130403503,0.005132183600586232,0.005132183600586232,0.007407407407407529,1,0.05264664657793387,0.04914147416671748,0.16767046790983942
40,40,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.161503086827953,0.004319406751897783,0.004319406751897783,,0,0.042036937575580344,0.08950205268486151,0.08718733354299157
