mouse_id,Condition,Decile_Index,Mean_Correlation
M21_1107,Divergent,1,0.08260654723865016
M21_1107,Divergent,2,0.13238170139405564
M21_1107,Divergent,3,0.15953211031562628
M21_1107,Divergent,4,0.1817817842555745
M21_1107,Divergent,5,0.2013889761766211
M21_1107,Divergent,6,0.22103615491063824
M21_1107,Divergent,7,0.24240407972928954
M21_1107,Divergent,8,0.26894466355748986
M21_1107,Divergent,9,0.30436489999644045
M21_1107,Divergent,10,0.42253478502188785
M21_1107,Convergent,1,0.07336023555367881
M21_1107,Convergent,2,0.11908502196421077
M21_1107,Convergent,3,0.14541284709221977
M21_1107,Convergent,4,0.16661427013787805
M21_1107,Convergent,5,0.186700254013941
M21_1107,Convergent,6,0.20593975557844746
M21_1107,Convergent,7,0.22665181079477037
M21_1107,Convergent,8,0.25203694189758086
M21_1107,Convergent,9,0.2855163436702512
M21_1107,Convergent,10,0.40299276679051843
M21_1107,Random,1,0.06616639389239337
M21_1107,Random,2,0.13290071951322097
M21_1107,Random,3,0.17284935270783494
M21_1107,Random,4,0.20437166801449985
M21_1107,Random,5,0.23376047117074503
M21_1107,Random,6,0.2595927631944562
M21_1107,Random,7,0.28430444495549706
M21_1107,Random,8,0.3103176027182189
M21_1107,Random,9,0.34384899738105057
M21_1107,Random,10,0.4500374118768423
M71_1024,Divergent,1,0.04549640432727778
M71_1024,Divergent,2,0.08785100077959926
M71_1024,Divergent,3,0.11379603735467712
M71_1024,Divergent,4,0.1363548480653104
M71_1024,Divergent,5,0.15781629538200417
M71_1024,Divergent,6,0.17857383131313403
M71_1024,Divergent,7,0.1994110575521852
M71_1024,Divergent,8,0.22378623600590156
M71_1024,Divergent,9,0.25755699434730345
M71_1024,Divergent,10,0.37783917296650604
M71_1024,Convergent,1,0.044535613812218676
M71_1024,Convergent,2,0.08850996304625602
M71_1024,Convergent,3,0.1144390188068679
M71_1024,Convergent,4,0.13667161586791038
M71_1024,Convergent,5,0.15721936128549274
M71_1024,Convergent,6,0.1775880254353875
M71_1024,Convergent,7,0.19919612559453803
M71_1024,Convergent,8,0.22360032365842636
M71_1024,Convergent,9,0.2555926249538055
M71_1024,Convergent,10,0.38064000564595263
M71_1024,Random,1,0.032600220454872667
M71_1024,Random,2,0.0720061900769677
M71_1024,Random,3,0.09531787181080752
M71_1024,Random,4,0.11490622716535943
M71_1024,Random,5,0.13436493510768163
M71_1024,Random,6,0.1534957020070233
M71_1024,Random,7,0.17436993004954718
M71_1024,Random,8,0.1996903237583861
M71_1024,Random,9,0.23523297002935076
M71_1024,Random,10,0.3543040314803662
M73_1128,Divergent,1,0.04410459464371005
M73_1128,Divergent,2,0.08555260018788938
M73_1128,Divergent,3,0.11138239590959009
M73_1128,Divergent,4,0.1335707733154253
M73_1128,Divergent,5,0.15402901858893842
M73_1128,Divergent,6,0.17449165339246744
M73_1128,Divergent,7,0.19630968426544526
M73_1128,Divergent,8,0.22077326703899308
M73_1128,Divergent,9,0.2521882203528416
M73_1128,Divergent,10,0.3429309062491119
M73_1128,Convergent,1,0.05351691911071059
M73_1128,Convergent,2,0.099274953273273
M73_1128,Convergent,3,0.12672305386913654
M73_1128,Convergent,4,0.149686523106368
M73_1128,Convergent,5,0.17072506649137717
M73_1128,Convergent,6,0.19161218381629305
M73_1128,Convergent,7,0.21341670138010344
M73_1128,Convergent,8,0.23788196572450962
M73_1128,Convergent,9,0.26980895171222347
M73_1128,Convergent,10,0.36051678666321335
M73_1128,Random,1,0.01294302360801249
M73_1128,Random,2,0.05040694916834329
M73_1128,Random,3,0.0767717881780774
M73_1128,Random,4,0.10123530602305593
M73_1128,Random,5,0.12567548740956047
M73_1128,Random,6,0.15092096216560721
M73_1128,Random,7,0.17783439328794265
M73_1128,Random,8,0.20936152696882002
M73_1128,Random,9,0.2502884484758723
M73_1128,Random,10,0.35214355961689076
M77_1031,Divergent,1,0.060581458575321205
M77_1031,Divergent,2,0.10313679418520266
M77_1031,Divergent,3,0.12971296188507983
M77_1031,Divergent,4,0.1520626992411055
M77_1031,Divergent,5,0.17250309903385422
M77_1031,Divergent,6,0.1925153395804026
M77_1031,Divergent,7,0.21368462390129053
M77_1031,Divergent,8,0.23785929171372097
M77_1031,Divergent,9,0.2689825417806607
M77_1031,Divergent,10,0.352668643281887
M77_1031,Convergent,1,0.05832672307463429
M77_1031,Convergent,2,0.10238105752583124
M77_1031,Convergent,3,0.12918663976614517
M77_1031,Convergent,4,0.1517805527353563
M77_1031,Convergent,5,0.17261194987148307
