Metric,N_mice,Mean,SEM
Task1 activity decoder accuracy,8,0.9402777777777778,0.04107717926153956
Task1 activity decoder minus shuffle,8,0.5849479166666667,0.039250734189449556
Task2 full minus top10 ablation,8,0.011111111111111113,0.00481125224324687
Task3 FC decoder accuracy,8,0.6759864704632146,0.05116385886406236
Task3 FC decoder minus shuffle,8,0.34106940109847084,0.05080653946504042
Task4 top-edge ablation delta (drop=1%),8,0.011183261183261125,0.006805792586052292
Task4 top-edge ablation delta (drop=3%),8,0.011159211159211101,0.009202152868867533
Task4 top-edge ablation delta (drop=5%),8,0.020289131626340873,0.010075155003778178
Task5 weak-tail log2 enrichment,8,-1.7980270099873699,0.24381139493988765
Task6 Shared_Core log2 enrichment,8,-0.055011104676365864,0.1314044782922237
