ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base,mouse_id
top,0.01,182,-1,0.7904761904761904,0.0719031850978166,0.7714285714285715,0.0755928946018454,0.0190476190476189,M21_1107
random,0.01,182,0,0.7904761904761904,0.0719031850978166,0.8190476190476191,0.0329914439536928,-0.0285714285714286,M21_1107
random,0.01,182,1,0.7904761904761904,0.0719031850978166,0.7238095238095239,0.0719031850978167,0.0666666666666665,M21_1107
random,0.01,182,2,0.7904761904761904,0.0719031850978166,0.7619047619047619,0.0329914439536929,0.0285714285714285,M21_1107
random,0.01,182,3,0.7904761904761904,0.0719031850978166,0.8000000000000002,0.0571428571428571,-0.0095238095238097,M21_1107
random,0.01,182,4,0.7904761904761904,0.0719031850978166,0.7333333333333334,0.059476171413318,0.057142857142857,M21_1107
random,0.01,182,5,0.7904761904761904,0.0719031850978166,0.780952380952381,0.0329914439536929,0.0095238095238094,M21_1107
random,0.01,182,6,0.7904761904761904,0.0719031850978166,0.7238095238095238,0.059476171413318,0.0666666666666666,M21_1107
random,0.01,182,7,0.7904761904761904,0.0719031850978166,0.7523809523809524,0.1350233036072173,0.038095238095238,M21_1107
top,0.03,545,-1,0.7904761904761904,0.0719031850978166,0.7714285714285715,0.0755928946018454,0.0190476190476189,M21_1107
random,0.03,545,0,0.7904761904761904,0.0719031850978166,0.8285714285714286,0.0285714285714285,-0.0380952380952381,M21_1107
random,0.03,545,1,0.7904761904761904,0.0719031850978166,0.7142857142857144,0.0755928946018454,0.076190476190476,M21_1107
random,0.03,545,2,0.7904761904761904,0.0719031850978166,0.7523809523809524,0.0329914439536929,0.038095238095238,M21_1107
random,0.03,545,3,0.7904761904761904,0.0719031850978166,0.7904761904761907,0.0164957219768464,-2.220446049250313e-16,M21_1107
random,0.03,545,4,0.7904761904761904,0.0719031850978166,0.7428571428571429,0.0494871659305393,0.0476190476190475,M21_1107
random,0.03,545,5,0.7904761904761904,0.0719031850978166,0.8095238095238096,0.0436435780471984,-0.0190476190476192,M21_1107
random,0.03,545,6,0.7904761904761904,0.0719031850978166,0.7142857142857143,0.0755928946018454,0.0761904761904761,M21_1107
random,0.03,545,7,0.7904761904761904,0.0719031850978166,0.7619047619047619,0.1189523428266361,0.0285714285714285,M21_1107
top,0.05,908,-1,0.7904761904761904,0.0719031850978166,0.780952380952381,0.0659828879073857,0.0095238095238094,M21_1107
random,0.05,908,0,0.7904761904761904,0.0719031850978166,0.7999999999999999,0.0285714285714285,-0.0095238095238094,M21_1107
random,0.05,908,1,0.7904761904761904,0.0719031850978166,0.7142857142857143,0.0571428571428571,0.0761904761904761,M21_1107
random,0.05,908,2,0.7904761904761904,0.0719031850978166,0.7619047619047619,0.0164957219768464,0.0285714285714285,M21_1107
random,0.05,908,3,0.7904761904761904,0.0719031850978166,0.8095238095238096,0.0329914439536929,-0.0190476190476192,M21_1107
