level_type,level,observed_count,expected_count,observed_prop,expected_prop,enrichment_ratio,log2_enrichment,p_over,p_under,p_two_sided,n_important_edges,n_total_edges,p_fdr_bh,mouse_id
decile,D1,28,181.55001377790023,0.015426997245179,0.100027555800496,0.1542274738352483,-2.696868307262831,1.0,3.621089609800288e-52,7.242179219600576e-52,1815,18145,3.621089609800288e-51,M21_1107
decile,D2,54,181.4499862220997,0.0297520661157024,0.0999724441995039,0.2976026679515002,-1.7485406348474106,1.0,3.1302109850896856e-33,6.260421970179371e-33,1815,18145,2.086807323393124e-32,M21_1107
decile,D3,89,181.55001377790023,0.0490358126721763,0.100027555800496,0.4902230418334677,-1.0284897984181338,1.0,7.818343848366696e-17,1.563668769673339e-16,1815,18145,3.127337539346678e-16,M21_1107
decile,D4,121,181.4499862220997,0.0666666666666666,0.0999724441995039,0.6668504226320654,-0.584564899763135,0.9999999360002078,1.0525287474509525e-07,2.105057494901905e-07,1815,18145,3.508429158169842e-07,M21_1107
decile,D5,134,181.55001377790023,0.0738292011019283,0.100027555800496,0.738088624782974,-0.4381340389366391,0.9999802499745274,2.8975919252773232e-05,5.795183850554647e-05,1815,18145,7.243979813193308e-05,M21_1107
decile,D6,174,181.4499862220997,0.0958677685950413,0.0999724441995039,0.9589419300659454,-0.0604846411955925,0.7423851735567106,0.2852464447691795,0.5704928895383591,1815,18145,0.5704928895383591,M21_1107
decile,D7,216,181.55001377790023,0.1190082644628099,0.100027555800496,1.1897547981576295,0.2506642727616386,0.0030308538788679,0.9976228049849972,0.0060617077577359,1815,18145,0.0067352308419287,M21_1107
decile,D8,233,181.4499862220997,0.1283746556473829,0.0999724441995039,1.2841004006055476,0.3607580076061486,2.249868585092577e-05,0.9999839110256687,4.499737170185154e-05,1815,18145,6.428195957407363e-05,M21_1107
decile,D9,299,181.55001377790023,0.1647382920110192,0.100027555800496,1.6469290955978295,0.7197784447929099,1.0309620135652648e-19,1.0,2.0619240271305292e-19,1815,18145,5.154810067826323e-19,M21_1107
decile,D10,467,181.4499862220997,0.2573002754820936,0.0999724441995039,2.573711961728715,1.363850602655899,3.4156115757518555e-94,1.0,6.831223151503711e-94,1815,18145,6.831223151503711e-93,M21_1107
regime,WeakTail_D1D2,82,363.0,0.0451790633608815,0.2,0.2258953168032782,-2.146273733352948,1.0,1.4012914218077114e-88,2.802582843615423e-88,1815,18145,,M21_1107
regime,StrongTail_D9D10,766,363.0,0.4220385674931129,0.2,2.110192837455014,1.0773748439254112,1.6081698804616127e-116,1.0,3.2163397609232254e-116,1815,18145,,M21_1107
decile,D1,28,254.3500098328417,0.011010617381046,0.1000196656833825,0.1100845249352323,-3.18331641757378,1.0,3.120893327742347e-83,6.241786655484694e-83,2543,25425,3.120893327742347e-82,M71_1024
decile,D2,42,254.2499901671583,0.016515926071569,0.0999803343166175,0.1651917467999379,-2.5977864852111585,1.0,5.6612805461116386e-70,1.132256109222328e-69,2543,25425,3.7741870307410926e-69,M71_1024
decile,D3,65,254.3500098328417,0.0255603617774282,0.1000196656833825,0.2555533614567893,-1.968303526677515,1.0,1.2293960575765834e-52,2.4587921151531667e-52,2543,25425,4.9175842303063335e-52,M71_1024
decile,D4,73,254.2499901671583,0.028706252457727,0.0999803343166175,0.2871189884856063,-1.800279349146996,1.0,1.6820168021798406e-47,3.3640336043596807e-47,2543,25425,5.6067226739328015e-47,M71_1024
decile,D5,110,254.3500098328417,0.0432559968541093,0.1000196656833825,0.4324749193884128,-1.2093116262044,1.0,1.1658936124555612e-28,2.331787224911123e-28,2543,25425,3.331124607015889e-28,M71_1024
decile,D6,142,254.2499901671583,0.0558395595753047,0.0999803343166175,0.558505429656933,-0.8403567885467518,1.0,3.453318920521872e-17,6.906637841043743e-17,2543,25425,8.633297301304678e-17,M71_1024
