layer_pair,layer_a,layer_b,n_edges,importance_sum,importance_mean,corr_mean,layer_source,mouse_id
DepthMid--DepthLow,DepthMid,DepthLow,4032,0.225064599788719,5.581959320156723e-05,0.1741406530937586,depth_tertile_from_neuron_pos_spi_axis0,M21_1107
DepthHigh--DepthLow,DepthHigh,DepthLow,4096,0.2220485886573691,5.4211081215178015e-05,0.1591533230852764,depth_tertile_from_neuron_pos_spi_axis0,M21_1107
DepthMid--DepthHigh,DepthMid,DepthHigh,4032,0.2067478717905064,5.127675391629624e-05,0.1543223261759108,depth_tertile_from_neuron_pos_spi_axis0,M21_1107
DepthLow--DepthLow,DepthLow,DepthLow,2016,0.122723052364779,6.087452994284673e-05,0.2222749403680504,depth_tertile_from_neuron_pos_spi_axis0,M21_1107
DepthHigh--DepthHigh,DepthHigh,DepthHigh,2016,0.1122785007441445,5.56937007659447e-05,0.1735960481242595,depth_tertile_from_neuron_pos_spi_axis0,M21_1107
DepthMid--DepthMid,DepthMid,DepthMid,1953,0.1111373866544574,5.6905983950055e-05,0.1893676649541681,depth_tertile_from_neuron_pos_spi_axis0,M21_1107
DepthHigh--DepthMid,DepthHigh,DepthMid,5621,0.2318121517342216,4.124037568657207e-05,0.0883907897502741,depth_tertile_from_neuron_pos_spi_axis0,M71_1024
DepthLow--DepthMid,DepthLow,DepthMid,5852,0.2177505207267498,3.72095900079887e-05,0.0841070869174546,depth_tertile_from_neuron_pos_spi_axis0,M71_1024
DepthLow--DepthHigh,DepthLow,DepthHigh,5548,0.1956055971426578,3.52569569471265e-05,0.0533564251068958,depth_tertile_from_neuron_pos_spi_axis0,M71_1024
DepthMid--DepthMid,DepthMid,DepthMid,2926,0.1248472527895004,4.2668234036056206e-05,0.132110540751116,depth_tertile_from_neuron_pos_spi_axis0,M71_1024
DepthLow--DepthLow,DepthLow,DepthLow,2850,0.116088372206262,4.07327621776358e-05,0.1376472959005915,depth_tertile_from_neuron_pos_spi_axis0,M71_1024
DepthHigh--DepthHigh,DepthHigh,DepthHigh,2628,0.113896105400595,4.3339461720165525e-05,0.1001235623234823,depth_tertile_from_neuron_pos_spi_axis0,M71_1024
DepthMid--DepthLow,DepthMid,DepthLow,29237,0.2208964300731487,7.555372646754068e-06,0.1004797831958481,depth_tertile_from_neuron_pos_spi_axis0,M73_1128
DepthLow--DepthHigh,DepthLow,DepthHigh,29583,0.2205459638798039,7.455158837163368e-06,0.0907149348836534,depth_tertile_from_neuron_pos_spi_axis0,M73_1128
DepthMid--DepthHigh,DepthMid,DepthHigh,28899,0.2140401246994765,7.406488968458303e-06,0.1065413587721484,depth_tertile_from_neuron_pos_spi_axis0,M73_1128
DepthLow--DepthLow,DepthLow,DepthLow,14878,0.1197356399832361,8.047831696682091e-06,0.1118087620177693,depth_tertile_from_neuron_pos_spi_axis0,M73_1128
DepthMid--DepthMid,DepthMid,DepthMid,14196,0.1145041790847446,8.065946681089368e-06,0.1318119617877661,depth_tertile_from_neuron_pos_spi_axis0,M73_1128
DepthHigh--DepthHigh,DepthHigh,DepthHigh,14535,0.1102776622795839,7.587042468495624e-06,0.1193169148825273,depth_tertile_from_neuron_pos_spi_axis0,M73_1128
DepthLow--DepthMid,DepthLow,DepthMid,56169,0.2222565621298075,3.956925744268325e-06,0.1189299789853678,depth_tertile_from_neuron_pos_spi_axis0,M77_1031
DepthHigh--DepthMid,DepthHigh,DepthMid,56169,0.2176953543779709,3.87572067115261e-06,0.1143980284945796,depth_tertile_from_neuron_pos_spi_axis0,M77_1031
DepthLow--DepthHigh,DepthLow,DepthHigh,56169,0.2163074598064114,3.851011408542282e-06,0.0986334317554742,depth_tertile_from_neuron_pos_spi_axis0,M77_1031
DepthLow--DepthLow,DepthLow,DepthLow,27966,0.1189400938692345,4.253024882687355e-06,0.1221915726397767,depth_tertile_from_neuron_pos_spi_axis0,M77_1031
