strength_decile,n_edges,importance_sum,importance_mean,corr_mean,mouse_id
1,1815,0.0750627446750506,4.1356884118485205e-05,0.0500014246560122,M21_1107
2,1814,0.0839068858582549,4.625517412252204e-05,0.0885657086949989,M21_1107
3,1815,0.0893708088191197,4.924011505185659e-05,0.1116407849052017,M21_1107
4,1814,0.0945816062238019,5.213980497453252e-05,0.1315019132085192,M21_1107
5,1815,0.0964339162270014,5.313163428484927e-05,0.1509943054862519,M21_1107
6,1814,0.0999577041113993,5.510347525435464e-05,0.1711266014668403,M21_1107
7,1815,0.1041208174083808,5.736684154731725e-05,0.1927440908600535,M21_1107
8,1814,0.1090536433891984,6.011777474597491e-05,0.2172804562549591,M21_1107
9,1815,0.1134543214065035,6.250926799256395e-05,0.2486046507897491,M21_1107
10,1814,0.1340575518812646,7.390162727743366e-05,0.3704020928791168,M21_1107
1,2543,0.0764172326539378,3.0050032502531582e-05,-0.0249729068698686,M71_1024
2,2542,0.0793516841506015,3.121624081455606e-05,0.0151936315697187,M71_1024
3,2543,0.0840801951991449,3.3063387809337376e-05,0.0362515305864439,M71_1024
4,2542,0.0871844854043086,3.429759457289876e-05,0.0533543173649796,M71_1024
5,2543,0.0918328036409541,3.611199513997412e-05,0.0702307039786331,M71_1024
6,2542,0.096150574215484,3.782477349153583e-05,0.0869912902789609,M71_1024
7,2543,0.1007643998688617,3.962422330666998e-05,0.1054340633212154,M71_1024
8,2542,0.1083517402872014,4.262460278804148e-05,0.126796113512744,M71_1024
9,2543,0.1201019359411176,4.722844512037658e-05,0.1573645319198129,M71_1024
10,2542,0.1557649486383747,6.127653368936851e-05,0.2886562513782411,M71_1024
1,13133,0.0821089907408433,6.252112292762e-06,0.0090609617020407,M73_1128
2,13133,0.085852016320596,6.537121474194476e-06,0.0406751949846429,M73_1128
3,13133,0.0903402776449458,6.8788759342835465e-06,0.0587941079257282,M73_1128
4,13133,0.09249436242847,7.0428967051298325e-06,0.0741464561134648,M73_1128
5,13132,0.096367997039123,7.338409765391642e-06,0.0890188807695756,M73_1128
6,13133,0.0984455399636818,7.496043551639522e-06,0.1041957451448335,M73_1128
7,13133,0.1015630368548688,7.733422436219359e-06,0.1208706862609578,M73_1128
8,13133,0.1062862488203676,8.09306699309888e-06,0.1407313606555467,M73_1128
9,13133,0.1114139919691574,8.483514198519562e-06,0.168374690948793,M73_1128
10,13132,0.1351275382179397,1.028994351339779e-05,0.2578338608622009,M73_1128
1,25241,0.0774505248428345,3.0684412203492136e-06,0.0114037714082463,M77_1031
2,25240,0.0835040992913546,3.3084032999744315e-06,0.0451927536544036,M77_1031
3,25241,0.0883643730543878,3.5008269503739106e-06,0.0647990045250502,M77_1031
4,25240,0.092943323182392,3.682382059524249e-06,0.0814112947458524,M77_1031
5,25241,0.0973727278546775,3.857720686766669e-06,0.0975795941769518,M77_1031
6,25240,0.1005843259404047,3.9851159247387e-06,0.1142326289253364,M77_1031
7,25241,0.1046124100356269,4.144543006839147e-06,0.1324086465811325,M77_1031
8,25240,0.1086645478116715,4.305251498085242e-06,0.1543518701564494,M77_1031
9,25241,0.114355636808809,4.530550961087477e-06,0.1851633307401449,M77_1031
10,25240,0.1321480311778374,5.235658921467412e-06,0.2782974785197586,M77_1031
1,1488,0.0785960622776186,5.281993432635659e-05,0.0220469992299319,M77_1107
2,1488,0.0869517876896368,5.8435341189272085e-05,0.0569122549338303,M77_1107
3,1488,0.0905836902145806,6.08761358968956e-05,0.0774301594928843,M77_1107
4,1488,0.0943116973408391,6.338151703013383e-05,0.095401689331128,M77_1107
5,1487,0.0954352298517915,6.417971072749937e-05,0.1117804790098199,M77_1107
6,1488,0.1002452002624056,6.736908619785327e-05,0.1281842091188316,M77_1107
7,1488,0.1047638209996968,7.040579368259195e-05,0.1462172046968371,M77_1107
8,1488,0.1087663611874879,7.309567284105371e-05,0.1680764584177623,M77_1107
9,1488,0.1101589095524406,7.40315252368553e-05,0.199484377413645,M77_1107
10,1487,0.1301872406234875,8.755026269232521e-05,0.3299341815729658,M77_1107
1,26318,0.0813924384781476,3.092652879327747e-06,0.0115735092453079,M78_1017
2,26317,0.0875479483376013,3.3266690100543904e-06,0.0494679465844684,M78_1017
3,26318,0.0914199525086172,3.473666407349239e-06,0.0712210841680554,M78_1017
4,26317,0.0946204495625614,3.5954116944393905e-06,0.0895219055888174,M78_1017
5,26318,0.0974925438585195,3.704405496562031e-06,0.1068243894227486,M78_1017
6,26317,0.0999499433891107,3.7979231443215695e-06,0.1246339282277226,M78_1017
7,26318,0.1027564796212521,3.904418254474207e-06,0.1442774488308013,M78_1017
8,26317,0.1055261276436089,4.009808399270773e-06,0.1680071799160481,M78_1017
9,26318,0.1099567353906018,4.1780049924235046e-06,0.2010242268787813,M78_1017
10,26317,0.1293373812099754,4.914594414635994e-06,0.2919736749584715,M78_1017
1,6643,0.0868880654806849,1.307964255316648e-05,0.047769303617358,M79_1128
2,6643,0.0941825114753999,1.417770758323046e-05,0.0875674773558634,M79_1128
3,6643,0.0960500226956056,1.4458832258859798e-05,0.1108342519582928,M79_1128
4,6643,0.0977201583224973,1.471024511854544e-05,0.1306002184029455,M79_1128
5,6643,0.0994408023354509,1.4969261227675896e-05,0.149195393860978,M79_1128
6,6643,0.1006499638580634,1.5151281628490656e-05,0.1684554642501641,M79_1128
7,6643,0.1025688588261998,1.5440141325635986e-05,0.1895455508129968,M79_1128
8,6643,0.1034870600669788,1.557836219584207e-05,0.2139979096977645,M79_1128
9,6643,0.1051201170895431,1.582419345017961e-05,0.2474805245847889,M79_1128
10,6643,0.1138924398495251,1.714472976810555e-05,0.3462549984513863,M79_1128
1,2750,0.0836993926122098,3.043614276807632e-05,0.0752169614666854,M91_1017
2,2749,0.0894595559439396,3.254258128189874e-05,0.1196829505580963,M91_1017
3,2750,0.0938313210937855,3.412048039774021e-05,0.1450829364283867,M91_1017
4,2749,0.0972742098716065,3.538530733779793e-05,0.1670254379682077,M91_1017
5,2750,0.0971711575394069,3.533496637796617e-05,0.1874595939341292,M91_1017
6,2749,0.1009945003080636,3.673863234196569e-05,0.2081958969441338,M91_1017
7,2750,0.1009049091066291,3.669269422059243e-05,0.2309596533563139,M91_1017
8,2749,0.1041927053289186,3.79020390428951e-05,0.2566828527913439,M91_1017
9,2750,0.1058399231147269,3.848724476899163e-05,0.2908725144042612,M91_1017
10,2749,0.1266323250806935,4.6064869072642266e-05,0.3931159275831259,M91_1017
