mouse_id,Condition,Network_Type,Value,Metric
M21_1107,Divergent,strong,0.2254753375585294,efficiency
M21_1107,Divergent,weak,0.3637962707817007,efficiency
M21_1107,Convergent,strong,0.2306087207547432,efficiency
M21_1107,Convergent,weak,0.2977542022595943,efficiency
M21_1107,Random,strong,0.2386330354682423,efficiency
M21_1107,Random,weak,0.4843391200514588,efficiency
M21_1107,Divergent,strong,0.382077897134744,modularity
M21_1107,Divergent,weak,0.2106493778026837,modularity
M21_1107,Convergent,strong,0.4635683019124803,modularity
M21_1107,Convergent,weak,0.2363523203699269,modularity
M21_1107,Random,strong,0.3907790564384081,modularity
M21_1107,Random,weak,0.1811641416934804,modularity
M21_1107,Divergent,strong,0.686113852330587,local_efficiency
M21_1107,Divergent,weak,0.4062144070475113,local_efficiency
M21_1107,Convergent,strong,0.7151232552503175,local_efficiency
M21_1107,Convergent,weak,0.1432416732762294,local_efficiency
M21_1107,Random,strong,0.6450757675820296,local_efficiency
M21_1107,Random,weak,0.5525498633674848,local_efficiency
M21_1107,Divergent,strong,0.6153763240860095,avg_clustering
M21_1107,Divergent,weak,0.2736410956071364,avg_clustering
M21_1107,Convergent,strong,0.6312721880153561,avg_clustering
M21_1107,Convergent,weak,0.0829532141762085,avg_clustering
M21_1107,Random,strong,0.5651148112219998,avg_clustering
M21_1107,Random,weak,0.4152182991926482,avg_clustering
M71_1024,Divergent,strong,0.2890852647844494,efficiency
M71_1024,Divergent,weak,0.3564831202884538,efficiency
M71_1024,Convergent,strong,0.2064407298153647,efficiency
M71_1024,Convergent,weak,0.3966863323500361,efficiency
M71_1024,Random,strong,0.2513249988294647,efficiency
M71_1024,Random,weak,0.3593975745657467,efficiency
M71_1024,Divergent,strong,0.5237678132472805,modularity
M71_1024,Divergent,weak,0.2201872429881376,modularity
M71_1024,Convergent,strong,0.4362307258513309,modularity
M71_1024,Convergent,weak,0.2494860536534606,modularity
M71_1024,Random,strong,0.5978553224785059,modularity
M71_1024,Random,weak,0.2451389434835441,modularity
M71_1024,Divergent,strong,0.7331285465322939,local_efficiency
M71_1024,Divergent,weak,0.1959720995662218,local_efficiency
M71_1024,Convergent,strong,0.7772558102730326,local_efficiency
M71_1024,Convergent,weak,0.3402974175945655,local_efficiency
M71_1024,Random,strong,0.7262402466410064,local_efficiency
M71_1024,Random,weak,0.1308225871714653,local_efficiency
M71_1024,Divergent,strong,0.621601839681481,avg_clustering
M71_1024,Divergent,weak,0.1222981579309967,avg_clustering
M71_1024,Convergent,strong,0.6993708133598557,avg_clustering
M71_1024,Convergent,weak,0.2268134264558481,avg_clustering
M71_1024,Random,strong,0.616161137231979,avg_clustering
M71_1024,Random,weak,0.0777372567275822,avg_clustering
M73_1128,Divergent,strong,0.3229013107129395,efficiency
M73_1128,Divergent,weak,0.4890198586742855,efficiency
M73_1128,Convergent,strong,0.3063314753898344,efficiency
