mouse_id,Condition,Network_Type,Value,Metric
M21_1107,Divergent,strong_threshold,0.2674327179204567,efficiency
M21_1107,Divergent,weak_threshold,0.4184026820979434,efficiency
M21_1107,Convergent,strong_threshold,0.2182949739094412,efficiency
M21_1107,Convergent,weak_threshold,0.4409800679710112,efficiency
M21_1107,Random,strong_threshold,0.3980797543597488,efficiency
M21_1107,Random,weak_threshold,0.5413107375769293,efficiency
M21_1107,Divergent,strong_threshold,0.3049863423517169,modularity
M21_1107,Divergent,weak_threshold,0.1798758467148545,modularity
M21_1107,Convergent,strong_threshold,0.4644953980697003,modularity
M21_1107,Convergent,weak_threshold,0.1612139332885731,modularity
M21_1107,Random,strong_threshold,0.2191811172671165,modularity
M21_1107,Random,weak_threshold,0.1452635734376832,modularity
M21_1107,Divergent,strong_threshold,0.7212309546778288,local_efficiency
M21_1107,Divergent,weak_threshold,0.5507312154551944,local_efficiency
M21_1107,Convergent,strong_threshold,0.7182253759759324,local_efficiency
M21_1107,Convergent,weak_threshold,0.4365441725169323,local_efficiency
M21_1107,Random,strong_threshold,0.7118925880073272,local_efficiency
M21_1107,Random,weak_threshold,0.7824429700004518,local_efficiency
M21_1107,Divergent,strong_threshold,0.6338124211544106,avg_clustering
M21_1107,Divergent,weak_threshold,0.3769342763593998,avg_clustering
M21_1107,Convergent,strong_threshold,0.6377846448702047,avg_clustering
M21_1107,Convergent,weak_threshold,0.2318181723316436,avg_clustering
M21_1107,Random,strong_threshold,0.5865522005920721,avg_clustering
M21_1107,Random,weak_threshold,0.5996110912628094,avg_clustering
M71_1024,Divergent,strong_threshold,0.190002590875746,efficiency
M71_1024,Divergent,weak_threshold,0.5955948869223172,efficiency
M71_1024,Convergent,strong_threshold,0.106683054736149,efficiency
M71_1024,Convergent,weak_threshold,0.5950180268764337,efficiency
M71_1024,Random,strong_threshold,0.1349541134054272,efficiency
M71_1024,Random,weak_threshold,0.6352867912159941,efficiency
M71_1024,Divergent,strong_threshold,0.6548007376970396,modularity
M71_1024,Divergent,weak_threshold,0.1023333988013501,modularity
M71_1024,Convergent,strong_threshold,0.5417878928430877,modularity
M71_1024,Convergent,weak_threshold,0.1057122331260563,modularity
M71_1024,Random,strong_threshold,0.7737146431001927,modularity
M71_1024,Random,weak_threshold,0.0858924700693131,modularity
M71_1024,Divergent,strong_threshold,0.7263725025654076,local_efficiency
M71_1024,Divergent,weak_threshold,0.6891586366339648,local_efficiency
M71_1024,Convergent,strong_threshold,0.7820286220943276,local_efficiency
M71_1024,Convergent,weak_threshold,0.7129415849283197,local_efficiency
M71_1024,Random,strong_threshold,0.6816243848804673,local_efficiency
M71_1024,Random,weak_threshold,0.6936155294197551,local_efficiency
M71_1024,Divergent,strong_threshold,0.6508138782242444,avg_clustering
M71_1024,Divergent,weak_threshold,0.3857340591711488,avg_clustering
M71_1024,Convergent,strong_threshold,0.7233675752997272,avg_clustering
