level_type,overlap_category,n_neurons,n_important_neurons,important_fraction,mean_selectivity_index,sem_selectivity_index,mean_decoder_importance,sem_decoder_importance,mean_ablation_effect_proxy,sem_ablation_effect_proxy,n_actual_ablation_eval,mean_ablation_drop_actual,sem_ablation_drop_actual,mouse_id
coarse,Condition_Biased,118,31,0.2627118644067774,0.2674559204475603,0.0158923194748244,0.0053102038268352,7.955348174464049e-05,0.0053102038268352,7.955348174464049e-05,30,-0.0019047619047619,0.0008419872807018,M21_1107
coarse,Shared_Core,73,8,0.1095890410958889,0.1676644772484095,0.009377679808165,0.0051150129922321,6.543223721551125e-05,0.0051150129922321,6.543223721551125e-05,30,-0.0012698412698412,0.0007549398861331,M21_1107
detail,Biased_Convergent,29,10,0.3448275862068847,0.2707504917540856,0.0270663928046759,0.005258925483225,0.0001566887111453,0.005258925483225,0.0001566887111453,9,-0.001058201058201,0.001058201058201,M21_1107
detail,Biased_Divergent,9,0,0.0,0.1807633706078491,0.0395470769111814,0.0045279475100404,0.0001256194472581,0.0045279475100404,0.0001256194472581,0,,,M21_1107
detail,Biased_Random,80,21,0.2624999999999967,0.2760145502059124,0.0206907603982526,0.0054167960620333,9.728140419700652e-05,0.0054167960620333,9.728140419700652e-05,21,-0.0022675736961451,0.0011200987787055,M21_1107
detail,Shared_Core,73,8,0.1095890410958889,0.1676644772484095,0.009377679808165,0.0051150129922321,6.543223721551125e-05,0.0051150129922321,6.543223721551125e-05,30,-0.0012698412698412,0.0007549398861331,M21_1107
coarse,Condition_Biased,129,27,0.2093023255813937,0.2890873005666818,0.0154953746330628,0.0044495156535368,6.388242119502041e-05,0.0044495156535368,6.388242119502041e-05,30,-0.0051851851851852,0.0016333407181351,M71_1024
coarse,Shared_Core,97,19,0.1958762886597918,0.1519512128229233,0.0105081948233881,0.0043918812442603,5.889929501541738e-05,0.0043918812442603,5.889929501541738e-05,30,-0.0046913580246913,0.0016461614856285,M71_1024
detail,Biased_Convergent,64,15,0.2343749999999963,0.2444610882714808,0.0149632141928652,0.0045157538742587,0.0001022319483734,0.0045157538742587,0.0001022319483734,15,-0.008395061728395,0.0021525426881682,M71_1024
detail,Biased_Divergent,27,6,0.222222222222214,0.2926037533298003,0.0305898669565933,0.0044704845560783,0.0001110056441535,0.0044704845560783,0.0001110056441535,9,-0.0016460905349794,0.0023995686810062,M71_1024
detail,Biased_Random,38,6,0.1578947368421011,0.3617487048374362,0.0384309789512908,0.0043230575878835,0.0001056523741097,0.0043230575878835,0.0001056523741097,6,-0.0024691358024691,0.0045528614603915,M71_1024
detail,Shared_Core,97,19,0.1958762886597918,0.1519512128229233,0.0105081948233881,0.0043918812442603,5.889929501541738e-05,0.0043918812442603,5.889929501541738e-05,30,-0.0046913580246913,0.0016461614856285,M71_1024
coarse,Condition_Biased,360,67,0.1861111111111106,0.43300491306519,0.0113128738032401,0.0019355065959076,1.1009690328229456e-05,0.0019355065959076,1.1009690328229456e-05,30,-0.0006349206349206,0.0009056209252302,M73_1128
coarse,Shared_Core,153,36,0.2352941176470573,0.2646540748149931,0.0101946099073503,0.0019818145455734,1.6795296921756392e-05,0.0019818145455734,1.6795296921756392e-05,30,0.0009523809523809,0.0010561922184155,M73_1128
detail,Biased_Convergent,189,36,0.1904761904761894,0.4680483093653312,0.0163263010625182,0.0019472934906083,1.5926896840007796e-05,0.0019472934906083,1.5926896840007796e-05,21,-0.001814058956916,0.0008362398600719,M73_1128
detail,Biased_Divergent,82,12,0.1463414634146323,0.3886957722231503,0.0218101342536253,0.0019002011059885,1.9796358699421675e-05,0.0019002011059885,1.9796358699421675e-05,4,0.0023809523809523,0.0045591767036015,M73_1128
