Subset,Subset_Size,mouse_id
Class_1,64,M21_1107
Class_2,86,M21_1107
Class_3,147,M21_1107
Class_1&Class_2,39,M21_1107
Class_1&Class_3,49,M21_1107
Class_2&Class_3,51,M21_1107
All_Classes_Intersection,33,M21_1107
Union_All,191,M21_1107
Class_1,118,M71_1024
Class_2,148,M71_1024
Class_3,106,M71_1024
Class_1&Class_2,78,M71_1024
Class_1&Class_3,62,M71_1024
Class_2&Class_3,55,M71_1024
All_Classes_Intersection,49,M71_1024
Union_All,226,M71_1024
Class_1,218,M73_1128
Class_2,312,M73_1128
Class_3,170,M73_1128
Class_1&Class_2,106,M73_1128
Class_1&Class_3,64,M73_1128
Class_2&Class_3,51,M73_1128
All_Classes_Intersection,34,M73_1128
Union_All,513,M73_1128
Class_1,376,M77_1031
Class_2,364,M77_1031
Class_3,345,M77_1031
Class_1&Class_2,161,M77_1031
Class_1&Class_3,150,M77_1031
Class_2&Class_3,168,M77_1031
All_Classes_Intersection,105,M77_1031
Union_All,711,M77_1031
Class_1,83,M77_1107
Class_2,105,M77_1107
Class_3,93,M77_1107
Class_1&Class_2,49,M77_1107
Class_1&Class_3,46,M77_1107
Class_2&Class_3,42,M77_1107
All_Classes_Intersection,29,M77_1107
Union_All,173,M77_1107
Class_1,404,M78_1017
Class_2,361,M78_1017
Class_3,412,M78_1017
Class_1&Class_2,205,M78_1017
Class_1&Class_3,191,M78_1017
Class_2&Class_3,184,M78_1017
All_Classes_Intersection,129,M78_1017
Union_All,726,M78_1017
Class_1,262,M79_1128
Class_2,253,M79_1128
Class_3,188,M79_1128
Class_1&Class_2,177,M79_1128
Class_1&Class_3,155,M79_1128
Class_2&Class_3,133,M79_1128
All_Classes_Intersection,127,M79_1128
Union_All,365,M79_1128
Class_1,141,M91_1017
Class_2,124,M91_1017
Class_3,135,M91_1017
Class_1&Class_2,76,M91_1017
Class_1&Class_3,81,M91_1017
Class_2&Class_3,60,M91_1017
All_Classes_Intersection,52,M91_1017
Union_All,235,M91_1017
